а	and,but,oh well,while
прикреплённый	affixed,applied,attached,fixed,inflicted
прикуриватель	cigar lighter,cigarette lighter
прикурить	jump-start
прилагательное	adjective
прилежность	diligence
прилежный	assiduous,diligent,industrious,studious
прилив	tide
прилипала	clingfish,remora,suckerfish
прилипчивый	adhesive,boring,bothersome,catching,sticking
прилистник	stipule
приличать	expose
приличить	expose
приличный	decent,proper
приложимый	applicable,appropriable
прилунение	lunar landing
прилёт	arrival
прима	prima
примадонна	diva,prima donna
примаж	primage
примазаться	wriggle into
примазываться	wriggle into
приманивать	allure,decoy,entice,lure
приманный	baitware
приманочный	baitware
примарность	primality
примарный	primary,prime
примат	primacy,primate
приматолог	primatologist
применение	application,employment,use
применимость	applicability,applicableness,suitability
применимый	applicable,suitable,usable,utilisable,utilizable
применять	apply,use
пример	example,model
примерно	admirably,excellent,exemplary,ideally
примерный	exemplary,model
примерочная	dressing room
примес	admixture
примесь	admixture
примета	omen,sign
примечательно	remarkably
примечательный	notable,noteworthy
примечать	notice
примирение	reconciliation
примитивность	primitiveness
примитивный	primitive
приморский	coastal,seaside
приморье	seaboard
примула	primrose,primula
принадлежать	appertain,be typical,belong
принадлежность	accessory,article,belonging,implement,membership,property,tackle
принарядить	deck out,dress up
принести	bear,bring,fetch,yield
приникать	press oneself
принимать	accept,adopt,host,take
приносить	bear,bring,fetch,yield
принтер	printer
принудиловка	forced labor,obligatory event
принудить	to force
принуждать	compel,force,impell
принуждение	coercion,compulsion,constraint,pressure
принц	crown prince,prince
принцепс	princeps
принцесса	princess
принцип	approach,policy,principle,tenet
принципат	principate
принюхиваться	smell,sniff
принятие	acceptance,reception,taking
принятый	accepted,adopted
принять	accept,admit,adopt,confuse,host,mistake,receive,see,take
приободриться	cheer
приобрести	acquire,assume,buy,gain,get,obtain,procure,purchase
приобретать	gain,obtain,purchase
приобретение	acquiring,acquisition,gain,getting
приобретённый	acquired,assumed,gained,got,gotten
приор	prior
приоритет	priority
приоритетность	priority
приоритетный	priority
приоритизация	prioritization
приоритизировать	prioritize
припадок	attack,fit,paroxysm,seizure
припадочный	stupid
припарка	fomentation,poultice
припарковать	park
припас	fund,reserve
припаять	braze,solder
припев	burden,chorus,refrain
припеваючи	in clover
приписывание	ascription,attribution
приплата	extra charge,fringe benefit,surcharge
приплясывать	dance,hop,trip
приподнимать	raise slightly,uplift
приподниматься	raise oneself
приподняться	raise oneself
припой	solder
приполюсный	circumpolar
припорашивать	dust,powder
припорох	pounce
припорошить	dust,powder
приправа	condiment,flavouring,relish,seasoning
припухлость	swell
припыл	dusting
припыливание	dusting
припять	pripyat
приравнивать	equate
приревновать	be jealous
прирезать	add on,append,tack on
приречный	riverine,riverside
прировнять	level
природа	essence,nature
природный	congenital,hereditary,natural
природоподобный	nature-like
прирождённый	natural-born
приручать	domesticate,handle,tame
приручить	domesticate,handle,tame
приручённый	tamed
присадка	additive
присваивать	appropriate
присвист	sibilance
приседание	squatting
присесть	curtsey,sit
прискучить	bore smb,tire smb,weary smb
прислать	send deliver
прислуживать	serve
прислушиваться	consider,harken
присоединение	combination,conjunction,joining
присоединиться	join,join in
присоединять	affix,append,attach,incorporate,join
присоединяться	join in
приспешник	accomplice,assistant,companion,helper
приспосабливаться	adapt,adjust
приспособительный	habilitative
приспособленец	time-server,timeserver
приспособление	adaptation,adjustment,appliance,device,gadget
приспособленный	fit
приставать	land
приставка	add-on,attachment,prefix
приставочный	prefixal
пристально	hard
пристальный	staring
пристанище	haven,refuge,shelter
пристенок	parlor
пристрастие	addiction,bias,partiality,passion,predilection,weakness
пристрастный	biased,partisan
пристройка	annex,enlargement
приступить	to begin,to start
пристыдить	shame
присуждать	adjudge,award,condemn,sentence
присуждение	adjudgment,award,conferment
присутствие	availability,presence
присутствовать	attend
присущий	appropriate,incident,inherent,intrinsic
присылать	send
присыпка	dusting,powder,powdering,sprinkling
присяга	oath
присягать	adjure,swear
присягнуть	adjure,swear
притвор	rabbet
притвориться	pretend
притворный	feigned,mock,rabbet,sham
притворство	dissembling,feigning,hypocrisy,make-believe,malingering,pretence,pretending
притворщик	pretender,sham
притворяться	feign,make believe,make out,pretend
прительный	quarrelsome
притеснение	harassment
притин	point
приток	afflux,confluent,inflow,tributary
притолока	lintel
притом	besides,furthermore,moreover
притон	den,hang-out,haunt,nest
притягательный	attractive,inviting
притягивать	attract,draw,pull
притяжательный	possessive
приурочивать	time
приурочить	time
приучать	school,train
приучить	school,train
прихлебатель	hanger-on,sponger
прихлопнуть	catch,kill,slam
прихлёбывать	to sip
приходить	arrive,come
прихожанин	parishioner
прихожая	hallway
прихорашиваться	preen oneself,spruce up
прихорошиться	preen oneself,spruce up
прихотливый	capricious,fanciful,fastidious,intricate,whimsical
прицел	aiming,sight,sighting
прицеливаться	sight
прицеп	trailer
причастие	the
причастность	involvement
причина	cause,excuse,reason
причинность	causality
причинный	causal
причинять	cause,inflict,occasion
причитание	lamentation
причудливо	fancifully
причудливый	bizarre,peculiar,queer,weird
причудница	weirdo
причём	moreover
причёска	haircut,hairdo,hairstyle
пришелец	arrival,newcomer,stranger
пришествие	advent
пришлый	alien,foreign,nonlocal
прищепка	clothes peg,clothespin
приют	asylum,orphanage,refuge,shelter
приютить	give refuge,harbour,house,roof,shelter
приючать	give refuge,harbour,house,roof,shelter
приямок	pit,sump
приятель	buddy
приятельство	friendship
приятно	agreeably,pleasantly
приятность	amenity,pleasantness
приятный	agreeable,appealing,attractive,cute,nice,pleasant,pleasing
приём	admitttance,entertainment,method,move,reception,way
приёмная	anteroom,waiting room
приёмник	receiver
приёмный	adopted,foster,receiving,reception
приёмопередатчик	transceiver,transmitter-receiver
приёмопередающий	transceiving,transmitter-receiver
приёмыш	foster child
про	about,concering,for
проактивность	proactivity
проактивный	proactive
проамериканский	pro-american
проанализировать	analyze
пробавляться	subsist
пробация	probation
пробежка	jog,jogging,travelling
пробел	gap,space,whitespace
пробздеться	walk
пробивочный	holing,piercing,punching
пробирка	test glass,test tube
пробка	congestion,cork,cutout,fuse,gridlock,holdup,plug,traffic jam
пробковый	cork,corky
проблема	problem,trouble
проблематизация	problematisation,problematization
проблематизировать	problematise,problematize
проблематизовать	problematise,problematize
проблематичный	problematic
проблемы	issues
проблеск	glimpse
пробовать	attempt,endeavour,feel,prove,taste,test,try
проболтаться	babble out,blow,cough up
пробудиться	awake,wake up,waken
пробуждение	awakening,waking up
пробулькиватель	bubbler
провайдер	isp,provider
провал	collapse,failure,fizzle
провалиться	give in
провалов	provalov
провевать	winnow
проведение	conducting,undertaking
проведший	carried,carried out,completed,conducted,engaged,spent
провеивание	air cleaning,winnowing
провеивать	winnow
провенанс	provenance
провениенция	provenance
провентилировать	air,sound out,ventilate
проверить	audit,check,inspect,verify
проверка	check,check-up,checking,checkout,inspection,verification
провернуться	overtravel
проверять	check,verify
провести	build,cheat,conduct,construct,develop,fool,guide,hold,install,lay,lead,put,realize,show to,steer,take,take in,through,trick
провеять	winnow
провиант	provision,provisions,victuals
провидческий	predictive,predictory,prophetic,prophetical
провизия	provision,viands
провизор	pharmacist
провисать	sag
прово	provo
провод	wire
проводить	build,cheat,conduct,construct,develop,fool,hold,install,lay,put,realize,take in,through,trick
проводка	accounting transaction,internal transaction,wiring
проводник	attendant,conductor,guardman,guide,pilot,porter,steward
проводница	woman-conductor
проводной	wire
проводы	seeing off
провожать	accompany
провозгласить	acclaim,proclaim
провозглашать	declare,proclaim,promulgate
провозглашение	proclamation
провокатор	agent provocateur,instigator,provoker,stoolpigeon
провокационно	provocatively
провокационный	provocative
проволока	wire
проволочка	delay,procrastination
проволочник	wireman,wireworm
проволочный	wire
провонялый	stinking
проворно	deftly
проворот	rotation
провоцировать	provoke
прогалина	clearing,glade
прогестерон	progesterone
прогибать	deflect,sag
прогитлеровский	pro-hitler
прогнатизм	prognathism
прогнать	banish,drive away,kick away,kiss off,send packing,turn back
прогноз	forecast,prognosis,projection
прогнозировать	forecast,predict
проговариваться	let out
проговорить	pronounce,say,speak,talk,utter
проговориться	give away,let out,spill
прогореть	be ruined,burn,burn down,burn through,go bankrupt
проградация	progradation
программа	agenda,curriculum,playbill,program,programme,syllabus
программатор	programmer
программист	developer,programmer
программистский	programmer
прогресс	progress
прогрессивизм	progressivism
прогрессивный	progressive
прогрессизм	progressivism
прогрессист	progressionist,progressist,progressivist
прогрессия	progression,sequence
прогул	absence,truancy
прогуливать	ditch
прогуливаться	promenade,saunter,stroll
прогулка	airing,outing,saunter,stroll,walk
прогусарить	dissipate,spend,waste
продавать	market,sell,vend
продаваться	sell oneself
продавец	salesman,seller,shop-assistant,store clerk
продавить	force,press
продавщица	saleswoman,shop-girl
продажа	sale,selling,trade
продажность	venality
продажный	corrupt,for sale,sale,selling,venal,vendible
продаться	sell oneself
продвигать	promote,slide
продвигаться	advance,go along
продвижение	advance,advancement,progress,promotion
продвинутый	advanced
продевать	pass through,put through,run through
продезинфицировать	disinfect
продекламировать	declaim,recite
продеть	pass through,put through,run through
продлевать	elongate,extend,prolong,renew
продлённый	extend,lengthen,prolong
продовольственный	food
продовольствие	food,rations
продолговатый	elongated,oblong,prolate
продолжать	continue,go ahead,go on,keep on,proceed
продолжение	continuation,sequel
продолжительный	long
продром	prodrome
продукт	eatables,edibles,foods,product
продуктивность	efficiency,productivity
продукция	commodity,product
продуманный	considered,thought-out
продумывать	think out,think over
продырявленный	perforated
проект	design,draft,project
проектирование	designing,planning,projecting,projection
проектировочный	designing,projecting
проектор	projector,video projector
проекция	projection
проецировать	project
прожевать	chew,masticate
прожект	design,impracticable project,impracticable scheme,plan,project,scheme
прожектёр	daydreamer,schemer
прожелть	yellow streak
прожжённый	arch,arrant
проживать	live,reside,run through,spend
прожиточный	living,subsistence
прожог	burn through
прожорливый	edacious,gluttonous,voracious
прожёвывать	chew,masticate
проза	prose
прозаик	prosaist
прозаично	dryly,prosaically,prosily
прозак	prozac
прозвать	call,dub,nickname
прозвище	alias,nick,nickname,sobriquet
прозекторская	dissecting room,prosectorium
прозелит	proselyte
прозелитизм	proselytism
прозопопея	prosopopoeia
прозор	clearance,gap,spacing
прозорливость	insight,perspicacity,sagacity
прозорливый	far-seeing,perspicacious
прозрачность	transparence,transparency
прозрачный	clear,lucent,see-through,transparent
проигравший	loser
проиграть	lose
проигрыватель	player
проигрывать	lose
проигрыш	defeat,loss
произведение	creation,product
произвести	make,manufacture,produce,promote
производитель	maker,manufacturer,producer
производительница	maker,manufacturer,producer
производительность	efficiency,performance,productivity
производить	make,produce
производственный	industrial,manufacturing
производство	execution,making,manufacture,production
произвол	self-willarbitrariness
произволение	pleasure
произволенье	pleasure
произвольно	arbitrarily,at will,intentionally,randomly
произвольный	accidental,any given,arbitrary,free,random,unconditioned
произнесение	pronouncement,pronousing,pronunciation,utterance
произнести	pronounce,say,utter
произносить	articulate,deliver,pronounce,utter
произношение	pronunciation
произойти	arise,befall,come,derive,descend
проинтегрировать	integrate
проинформировать	inform
происки	intrigues,scheming,underhand plotting
происходить	arise,come,derive,descend,go on,happen,occur,originate,spring,take place
происхождение	birth,descent,extraction,origin,parentage
происшествие	event,incident,occurrence
пройдоха	old fox,rogue,shirker,villain
пройма	armhole
пройти	cover,pass,span,take place
прок	benefit
прокажённый	leper
проказа	leprosy,mischief,prank,roguery,trick
проказник	rascal
прокалывание	pricking
прокамбий	procambium
прокат	distribution,rolled metal,rolling
прокатчик	millman,roller,rollerman
прокашляться	cough up
прокисать	turn sour
прокладка	lining
проклеивальщик	gluer
проклиза	proclisis
проклинать	curse,damn
проклитика	proclitic
проклятие	curse,damnation,perdition
проклятый	cursed,damned
проковка	cogging,hammering,peening
прокомментировать	comment
прокопьев	prokopiev
прокофьев	prokofiev
прокрастинатор	procrastinator
прокрастинация	procrastination
прокрастинировать	procrastinate
прокрутить	play back,put through,replay
проксимальный	proximal,proximalis
проктолог	proctologist
прокуратура	of the
прокурор	attorney,prosecutor,public prosecutor
пролабирование	prolapse
проламывание	breaching
пролатив	prolative case
пролежень	bedsore,pressure ulcer
пролекарство	prodrug
пролетариат	proletariat
пролетарий	prole,proletarian
пролив	channel,sound,spillage,strait
проливень	cloudburst,deluge,downfall,downpour,torrent
проливной	pelting,pouring
пролин	proline
пролить	to spill
пролог	prolog,prologue
пролонгировать	prolong
пролёт	flight,flyby,flying,flyover,overflight,span,span structure,stage,superstructure
промальп	rope access
промасленный	greased,oiled
промах	miss,slip,slip-up
промедлить	delay,linger
промежуток	gap,interval,period,space,span,stretch
промежуточность	intermediacy
прометий	promethium
проминать	force through,rumple
промискуитет	promiscuity
промозглый	dank
промоина	ravine
промокашка	blotting paper
промокнуть	get soaked
промоутер	promoter
промоушн	promotion
промоция	promotion
промперегрев	reheat,reheating
промышленность	industry
промышленный	industrial
пронатализм	natalism,pronatalism
пронаталистский	pronatalist
пронация	pronation
проникать	penetrate
проникнуться	be filled
проницательность	acumen,insight,perspicacity
прономинализация	pronominalization
прононциация	pronunciation
пронумерованный	numbered
пронумеровать	enumerate,number
пронырливый	leery,slim,sly
пропавший	gone
пропаганда	education,information,propaganda
пропагандировать	advocate,promote,propagandize
пропагандист	propagandist
пропадание	fall,fallout,miss
пропажа	loss
пропалывание	weeding
пропан	propane
пропарить	fail
пропасть	abyss,be wasted,chasm,die,disappear,gap,get lost,gulf,lots,perish,precipice,vanish
пропедевтика	preliminary study,propaedeutics
пропедевтический	propaedeutic
пропеллер	airscrew,propeller,propulsive screw
пропил	propyl
прописываться	get registered,register oneself
пропись	formulation,prescription
прописью	in words,spelled out
пропитать	feed,impregnate with,nourish,saturate with
пропитчик	impregnator
пропитывать	imbue,impregnate,saturate,soak,steep
проповедник	preacher
проповедь	advocacy,homily,propagation,sermon
пропозициональный	propositional
пропорция	proportion
пропотевание	transudation
проправительственный	pro-government
проприетарный	proprietary
проприорецептор	proprioceptor
проприорецепция	proprioception
проприоцептивный	proprioceptive
проприоцептор	proprioceptor
проприоцепция	proprioception
пропустить	let through,miss,skip
прораб	foreman,ganger
проработать	study,work
прорастить	couch
проращивать	couch
прорванный	break through,dig through,tear
прорезинить	gum,rubberize
прорезь	rent
проржаветь	rust through
прорицание	prophecy,soothsaying
прорицатель	augur,diviner
пророк	prophet
пророссийский	pro-russian
пророческий	fateful,oracular,prophetic
пророчество	oracle,prophecy
пророчествовать	to prophesy,to vaticinate
прорубь	ice hole
прорыв	breakthrough
прорывать	break through,burrow across,dig through
прорываться	break away
прорывной	breaking,breakthrough,groundbreaking
прорывный	breakdown,ragged
просачивание	exudation,filtering,infiltration,leakage,oozing,percolation
просветить	enlighten
просветление	antiglare coating,antireflective coating
просвещение	enlightenment
просвещённость	enlighteness
просвещённый	cultivated,enlightened
просвирин	prosvirin
просеивать	screen,sift
просека	cutting,opening
просесть	sink,subside
просеять	screen,sift
просить	ask,beg,pray
проситься	ask
просклонять	decline
проскрипция	proscription
прославить	glorify
прославление	apotheosis,glorification
прослеживаемость	traceability
прослеживание	tracing,tracking,traversal
прослойка	interlayer,layer,stratum
прослушивать	attend,hear,hear out,listen
прослыть	be reputed,pass
просматривать	browse
просмотровая	review room,viewing room
проснуться	awake,wake up
просо	millet
просовидный	millet-like
просодически	prosodically
просодия	prosody
просопограф	prosopographist
просопографический	prosopographic,prosopographical
просопография	prosopography
проспать	oversleep
проспект	avenue,street
проспективный	prospective
просроченный	overdue
проставить	lay,put
простак	lamb,simpleton
простейший	simplest
простенок	pier
проститутка	prostitute,streetwalker,strumpet,whore
проституция	prostitution
простить	excuse,forgive,pardon
просто	easily,just,simply
простоволосый	bare-headed
простой	basic,common,downtime,easy,ordinary,simple
простокваша	soured milk
простонать	groan,wail
простор	expanse,space
просторечный	informal
просторный	roomy,spacious
простота	simplicity
пространственный	dimensional,spatial
пространство	gap,room,space,spacing
прострация	exhaustion,prostration
прострел	lumbago,lumbar rheumatism,pulsatilla
простуда	cold,common cold
простудить	chill
проступок	delinquency,fault,misconduct,shortcoming,stumble
проступь	tread
простыня	bedsheet,sheet
простяк	bull-calf,coot,mug,simple,simple simon,simpleton
просунуть	push in,push through,put through
просфора	communion bread
просьба	application,entreaty,petition,plea,request
просёлочный	country
протактиний	protactinium
проталина	glade
протандрия	protandry
протеасома	proteasome
протез	prosthesis
протезирование	prosthetics
протеин	protein
протектор	patron,protector,tread,tread ply
протекторат	protectorate
протекция	protection
протеолиз	albuminolysis,proteolysis
протест	protest,remonstrance
протестант	protestant
протестантизм	protestantism
протестантский	protestant
протестировать	test
протестовать	object,protest,remonstrate
против	against,contra,facing,opposite,versus,vs
противень	baking sheet,baking tray,griddle
противительный	adversative
противник	adversary,antagonist,enemy,opponent
противно	against,disgustingly
противный	contrary,disgusting,nasty
противовес	counterweight
противовирусный	antiviral
противогаз	gas mask,gas-mask
противоглистный	vermicidal
противодействие	counteraction,opposition,resistance
противодействовать	counteract,countervail,oppose
противодействующий	reactionary
противозаконный	illegal,illegitimate,unlawful
противоион	counter-ion,counterion,gegenion
противокорабельный	anti-ship,antiship
противопожарный	anti-fire,fire-prevention
противополагать	contrast,oppose,set off
противоположность	contrast,opposition
противоположный	contrary,opposed,opposite
противопоставимость	contraposability,opposability
противопоставление	contraposition,contrast,contrasting,opposition
противопоточный	countercurrent
противорадиолокационный	antiradar
противоречивость	contradictoriness,discrepancy
противоречивый	conflicting,contradictory,discrepant
противоречие	contradiction,inconsistency
противоречить	contradict,gainsay,run counter
противостолбнячный	antitetanic,antitetanus
противостояние	confrontation,face-off,opposition
противоточный	countercurrent
противофаза	opposite phase,reversed phase
противоцинготный	anti-scorbutic
противоядие	antidote
протий	protium
протогерманский	proto-germanic
протограф	exemplar,protograph
протодиакон	archdeacon,protodeacon
протодьякон	archdeacon
протоиерей	archpriest
протокол	minutes,protocol
протолкнуть	press through,push forward,push through
протолог	protolog
протологизм	neologism,protologism
протомер	protomer
протон	proton
протонный	protonic
протоплазма	protoplasm
протоплазматический	protoplasmatic,protoplasmic
протопланетный	protoplanetary
протопопов	protopopov
прототип	prototype
проточный	flowing,running
протоязык	proto-language
протрава	mordant
протрактор	protractor
протрезвить	make sober,sober up
протухнуть	addle
протяжённость	extent,length
протянуть	say slowly,stretch out
проулок	lane
проучиться	study
проушина	ear,eye,lug,staple
профаза	prophase
профайлинг	profiling
профан	ignoramus,layman
профанировать	profane
профессионал	pro,professional
профессионализация	professionalisation
профессиональный	professional
профессия	occupation,profession,trade
профессор	professor
профессура	professorate,professors,professorship
профилактика	precautions,prevention,preventive measures,prophylaxis
профилирование	profiling
профилометр	proficorder,profile meter,profilometer,roughness indicator,roughness instrument,surface meter
профиль	profile,section,shape,sideview,specialization,type
профильный	core,main,profile
профит	profit
профитроль	cream puff,profiterole
профицит	budget surplus
профориентатор	career adviser
профсоюз	labor union,trade union
профузный	profuse
профурсетка	baggage,broad,vixen
прохвост	scoundrel
прохиндей	dodger,rogue,swindler
прохладный	cool,fresh
проход	pass,passage
проходимец	crook,rascal,rogue
проходить	pass
проходной	anadromous
прохождение	passage,passing
процветание	bonanza,flourishing,prosperity,wellbeing
процветать	blossom,flourish,prosper,thrive
процветающий	booming,flourishing,prosperous,successful
процедура	procedure
процеживать	filter,percolate,strain
процент	interest,per cent,percent,percentage,share
процентный	interest,percentage
процентщик	pawnbroker,usurer
процентщица	moneylender,usurer
процесс	process
процессия	procession
процессор	processor
прочерк	blank,dash
прочесть	read
прочий	other
прочитать	read through
прочностный	strengthening
прочность	durability,firmness,solidity,strength
прочтение	perusal
прочувствовать	to feel
прочь	away,off
прошедший	backward,last,onetime,overpast,past,previous
прошение	suit
прошептать	whisper
прошлое	past,the past
прошлый	bygone,last,past
прошнуровка	lacing
прощайте	farewell,goodbye
прощание	farewell
прощанье	farewell
прощать	condone,excuse,forgive,overlook,pardon,remit
прощение	forgiveness,pardon
проэкспонировать	expose
проэтосамить	fritter away
проявить	develop
проявиться	be developed,become apparent,develop,show,show up
проявление	display,manifestation
проёб	fuck up
пруд	pond
пруденциальный	prudential
пружина	spring
прунинг	pruning
прустит	proustite
прут	rod,switch,twig
пруф	proof
пруфлинк	proof-link
прыгательный	saltatorial,saltatory
прыгать	bound,jump,leap,skip,spring
прыгнуть	jump
прыгунчик	elephant shrew,tetrigidae
прыгучесть	spring ability
прыжок	bound,diving,jump,leap,vaulting
прыщ	acne,pimple,pustule,spot
прюнелевый	prunella
пряжка	buckle,clasp
прялка	distaff,spinning wheel
прямая	line,straight line
прямик	direct path,frank person,high road,highway,plain dealer
прямиком	beeline,bluntly,straight ahead
прямо	bluntly,frankly,honestly,openly,outspokenly,real,really,straight
прямодушный	frank,single-hearted,straightforward
прямой	frank,right,sincere,straight,straightforward,through
прямолинейный	rectilinear,straight,straightforward,straightline
прямоток	forward flow,performance muffler,uniflow
прямоугольник	rectangle
прямоугольный	perpendicular,rectangular,right,right-angled
пряность	spice,spiciness
пряный	spicy
прятать	conceal,hide
прятаться	to hide
псаки	psaki
псакинг	psaking
псалмист	psalmist
псалом	gospel,hymn,psalm,spiritual
псаломщик	parish clerk,reader,sexton
псалтырь	psalm-book,psalmbook,psalter
псаммофильный	ammophilous,psammophilous
псевдоанонимизация	pseudonymization
псевдобазис	pseudobasis,sub-basis
псевдогосударственность	pseudo-statehood
псевдодальность	pseudorange
псевдоевклидов	pseudo-euclidean
псевдозаимствование	pseudo-borrowing
псевдоискусство	pseudo art
псевдоистория	pseudohistory
псевдоклассицизм	pseudo-classicism
псевдокод	bytecode,p-code,pseudocode
псевдолейкодерма	pseudoleukoderma
псевдоневрастенический	pseudoneurasthenic
псевдоним	alias,pen-name,pseudonym,stage-name
псевдореминисценция	pseudoreminiscence
псевдоромб	false brill,land jewel,largetooth flounder
псевдосплав	pseudoalloy
псевдосумматор	false adder
псевдофилософия	philosophastry,pseudophilosophy
псевдоцилиндр	pseudocylinder
псевдоэвклидов	pseudo-euclidean
псили	psili,soft breathing
псина	dogmeat
псих	loony,lunatic,madman,nutcase
психастения	psychasthenia
психиатор	psychiatrist
психиатр	psychiatrist
психиатрия	psychiatry
психический	mental,psychic
психогения	psychogeny
психогенный	psychogenic
психоделик	psychedelic
психоделический	psychedelic
психодинамический	psychodynamic
психоз	abalienation,psychosis
психоламаркизм	psycholamarkism
психолог	psychologist
психологиня	psychologist
психологический	psychologic,psychological
психология	psychology
психометрический	psychometric
психомоторный	psychomotor
психоорганический	psychoorganic
психопат	psychopath
психопатический	psychopathic
психопатичный	psychopathic
психопатия	psychopathy
психопатологический	psychopathological
психопатоподобный	psychopathy-like
психосоматический	psychosomatic
психосоциальный	psychosocial
психостимулирующий	awareness-inducing
психотерапевтический	psychotherapeutic
психотехнология	psychotechnology
психотический	psychotic
психотронный	psychotronic
психотроп	psychotropic
психотропный	psychotropic
психофармакологический	psychopharmacologic,psychopharmacological
психофармакология	psychopharmacology
психохимия	psychochemistry
психрометр	psychrometer
психушка	asylum,funny farm,loony bin,mental clinic,mental home,mental hospital
псков	pskov
пскова	pskova
псковский	pskov
псоас	psoas
псориаз	psoriasis
птах	bird
пташка	birdie,little bird
птенец	fledgeling,fledgling,nestling,pullus,pupil
птенчик	chick,fledgeling,nestling
птеранодон	pteranodon
птеродактиль	pterodactyl
птифур	petit four
птица	bird,fowl,poultry
птицевод	poultry breeder,poultry farmer,poultry keeper
птицелов	bird-catcher,bird-snarer,fowler
птичка	check,little bird,tick
пуаз	poise
пуант	pointes
пуантилист	pointillist
пуантилистический	pointillist,pointillistic
пуантилистский	pointillist,pointillistic
пубертатный	pubertal,puberty
публика	audience
публикация	publication,published work
публицистический	publicistic
публично	public,publicly
публичный	public
пугало	bugaboo,bugbear,scarecrow
пугать	alert,caution,dismay,frighten,intimidate,scare,startle,threaten,warn
пугаться	be frightened,be startled,shy,take fright
пугливый	fearful,timid
пуговица	button
пуговка	small button
пудинг	pudding
пудлингование	puddling
пудра	powder
пудреттит	poudretteite
пузатый	bellied,paunchy,pot-bellied,potbellied
пузин	puzin
пузо	belly,paunch
пузырь	bladder,blister,bubble
пузырёк	bubble,phial,vesicle,vial
пук	bunch,bundle,fart,poot,tuft,wisp
пул	pool
пулемёт	machine gun
пуловер	pullover
пульверизатор	atomizer,pulverizer,sprayer
пульверизация	pulverisation,pulverization,spraying
пулькоги	bulgogi
пульмонолог	pulmonologist
пульмонология	pulmonology
пульпит	pulpitis
пульс	pulse,pulse rate
пульсатор	pulsator
пульсировать	beat,pulsate,throb
пульсовый	sphygmic
пульт	console,panel,remote control
пульхерия	pulcheria
пуля	bullet,projectile
пума	cougar,mountain lion,puma
пункт	point,station
пунктир	dotted line
пунктуальность	punctuality
пунктуальный	precise,punctual
пунктуационно	punctuationally
пунктуация	punctuation
пуночка	snow bunting
пунсон	punch,puncheon,stamp
пунт	punt
пунцовый	crimson
пунш	punch
пуп	belly button,navel,umbilicus
пупкин	john doe,john smith,pupkin
пупок	belly button,gizzard,navel,omphalos,umbilicus
пупочный	umbilical
пупсик	kewpie,kewpie doll
пурга	blizzard,snowstorm
пуризм	purism
пурист	purist
пуританин	puritan
пуританка	puritan
пурпурный	amaranthine,magenta
пуруша	purusha
пусан	busan,fusan,pusan
пускай	even if,let,though
пускать	let out
пускач	starting engine,starting motor
пустельга	kestrel
пустеть	to empty
пустить	let go,let in,let out,let pass
пустой	blank,empty,free,hollow,pointless,vain
пустословие	chatter,idle talk,twaddle
пустота	emptiness,vacuum,void
пустотелый	hollow,hollow-centered
пустошь	waste ground,waste plot,wasteland
пустынный	desolate
пустыня	desert,wasteland
пустырник	motherwort
пустырь	wasteland
пусть	although,let,though
пустяк	doddle
пут	put,put option
путаница	confusion,jumble,mess,muddle
путать	confuse,embroil,involve,mix up,tangle
путепровод	overpass,underpass
путешественник	traveller,voyager
путешественница	traveller
путешествие	journey,travel,trip,voyage
путешествовать	travel,voyage
путин	poutine
путина	fishing,fishing season
путник	wayfarer
путорак	sand shrew
путридный	putrid
путч	coup,putsch
путчист	coupist,putschist
путы	fetters,hobble
путь	track,way
путёвка	voucher
путём	all right
пухнуть	swell
пухов	poukhov,pukhov
пуховик	feather bed
пуховка	powder puff
пухтун	pashtun
пучок	bunch,bundle,fascicle,wisp
пучхэчхум	buchaechum
пушбол	pushball
пушечный	cannon,gun
пушинка	flock
пушистый	furry
пушка	cannon,gun
пушкарь	cannoneer
пушкинизм	pushkinism
пушнина	fur-skins,furs,pelts
пушок	down
пушонка	lime,slaked lime
пуштунский	pashto
пуще	powerly
пуэбла	puebla
пуэрперий	puerperium
пфальцграф	count palatine
пхеньян	pyongyang
пхёнчхан	pyeongchang
пчела	bee,honeybee
пчелиный	bee
пчеловод	bee-keeper,beekeeper
пчелоед	bee-eater,european beewolf,merops
пчельник	apiary,bee-keeper,bee-master,beekeeper
пшек	polack
пшеница	wheat
пшено	millet
пшикать	hiss
пшённый	millet
пыж	wad,wadding
пыл	ardour,blaze,heat,zeal
пылесос	hoover,vacuum cleaner
пылесосить	vacuum-clean
пылеулавливание	dust catching,dust collecting
пылить	raise dust
пылкий	ardent,fervent,passionate
пылко	ardently,flamingly,hotly
пылкость	ardency,ardour,fervency,passion
пыль	dust,powder
пыльник	dust cloak,dust coat,duster
пырей	couch grass
пыриться	stare
пырять	jab,prod,stab
пытать	torment,torture
пытаться	assay,attempt,endeavour,seek,try,turn around
пытка	torment,torture
пытливо	inquisitively
пыхов	pykhov
пышногрудый	big-breasted,bosomy,busty,buxom,full-bosomed
пышный	fluffy,luxuriant,magnificent,splendid,sumptuous
пьедестал	pedestal,podium
пьезодатчик	piezoelectric detector,piezosensor
пьезокварц	piezo-quartz,piezoelectric quartz
пьезометрический	piezometric,piezometrical
пьезометрия	piezometry
пьезомодуль	piezoelectric coefficient,piezoelectric constant,piezoelectric modulus
пьемонтский	piedmontese
пьеса	piece,play,poesy,song
пьютер	pewter
